name,inserted_value,name_normalized,match_status,mapping_type,is_default_new_ward,old_ward,old_district,old_province,old_ward_code,old_district_code,old_province_code,old_full_address,new_ward,new_province,new_ward_code,new_province_code,new_full_address,match_note
Phường Bình Minh,9121,Phường Bình Minh,MAPPED,merged,TRUE,Phường Bình Minh,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16618,407,38,"Phường Bình Minh, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Tĩnh Gia,Tỉnh Thanh Hóa,16561,38,"Phường Tĩnh Gia, Tỉnh Thanh Hóa",
Phường Hải An,9122,Phường Hải An,MAPPED,merged,TRUE,Phường Hải An,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16585,407,38,"Phường Hải An, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Tân Dân,Tỉnh Thanh Hóa,16594,38,"Phường Tân Dân, Tỉnh Thanh Hóa",
Phường Hải Bình,9123,Phường Hải Bình,MAPPED,merged,TRUE,Phường Hải Bình,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16633,407,38,"Phường Hải Bình, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Hải Bình,Tỉnh Thanh Hóa,16645,38,"Phường Hải Bình, Tỉnh Thanh Hóa",
Phường Hải Châu,9124,Phường Hải Châu,MAPPED,merged,TRUE,Phường Hải Châu,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16564,407,38,"Phường Hải Châu, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Ngọc Sơn,Tỉnh Thanh Hóa,16576,38,"Phường Ngọc Sơn, Tỉnh Thanh Hóa",
Phường Hải Hòa,9125,Phường Hải Hòa,MAPPED,merged,TRUE,Phường Hải Hòa,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16561,407,38,"Phường Hải Hòa, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Tĩnh Gia,Tỉnh Thanh Hóa,16561,38,"Phường Tĩnh Gia, Tỉnh Thanh Hóa",
Phường Hải Lĩnh,9126,Phường Hải Lĩnh,MAPPED,merged,TRUE,Phường Hải Lĩnh,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16597,407,38,"Phường Hải Lĩnh, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Hải Lĩnh,Tỉnh Thanh Hóa,16597,38,"Phường Hải Lĩnh, Tỉnh Thanh Hóa",
Phường Hải Ninh,9127,Phường Hải Ninh,MAPPED,merged,TRUE,Phường Hải Ninh,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16576,407,38,"Phường Hải Ninh, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Ngọc Sơn,Tỉnh Thanh Hóa,16576,38,"Phường Ngọc Sơn, Tỉnh Thanh Hóa",
Phường Hải Thanh,9128,Phường Hải Thanh,MAPPED,merged,TRUE,Phường Hải Thanh,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16621,407,38,"Phường Hải Thanh, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Tĩnh Gia,Tỉnh Thanh Hóa,16561,38,"Phường Tĩnh Gia, Tỉnh Thanh Hóa",
Phường Hải Thượng,9129,Phường Hải Thượng,MAPPED,merged,TRUE,Phường Hải Thượng,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16654,407,38,"Phường Hải Thượng, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Nghi Sơn,Tỉnh Thanh Hóa,16654,38,"Phường Nghi Sơn, Tỉnh Thanh Hóa",
Phường Mai Lâm,9130,Phường Mai Lâm,MAPPED,merged,TRUE,Phường Mai Lâm,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16645,407,38,"Phường Mai Lâm, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Hải Bình,Tỉnh Thanh Hóa,16645,38,"Phường Hải Bình, Tỉnh Thanh Hóa",
Phường Nguyên Bình,9131,Phường Nguyên Bình,MAPPED,merged,TRUE,Phường Nguyên Bình,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16609,407,38,"Phường Nguyên Bình, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Đào Duy Từ,Tỉnh Thanh Hóa,16609,38,"Phường Đào Duy Từ, Tỉnh Thanh Hóa",
Phường Ninh Hải,9132,Phường Ninh Hải,MAPPED,merged,TRUE,Phường Ninh Hải,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16606,407,38,"Phường Ninh Hải, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Hải Lĩnh,Tỉnh Thanh Hóa,16597,38,"Phường Hải Lĩnh, Tỉnh Thanh Hóa",
Phường Tân Dân,9133,Phường Tân Dân,MAPPED,merged,TRUE,Phường Tân Dân,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16594,407,38,"Phường Tân Dân, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Tân Dân,Tỉnh Thanh Hóa,16594,38,"Phường Tân Dân, Tỉnh Thanh Hóa",
Phường Tĩnh Hải,9134,Phường Tĩnh Hải,MAPPED,merged,TRUE,Phường Tĩnh Hải,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16642,407,38,"Phường Tĩnh Hải, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Hải Bình,Tỉnh Thanh Hóa,16645,38,"Phường Hải Bình, Tỉnh Thanh Hóa",
Phường Trúc Lâm,9135,Phường Trúc Lâm,MAPPED,merged,TRUE,Phường Trúc Lâm,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16630,407,38,"Phường Trúc Lâm, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Trúc Lâm,Tỉnh Thanh Hóa,16624,38,"Phường Trúc Lâm, Tỉnh Thanh Hóa",
Phường Xuân Lâm,9136,Phường Xuân Lâm,MAPPED,merged,TRUE,Phường Xuân Lâm,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16627,407,38,"Phường Xuân Lâm, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Đào Duy Từ,Tỉnh Thanh Hóa,16609,38,"Phường Đào Duy Từ, Tỉnh Thanh Hóa",
Xã Anh Sơn,9137,Xã Anh Sơn,MAPPED,merged,TRUE,Xã Anh Sơn,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16579,407,38,"Xã Anh Sơn, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Xã Các Sơn,Tỉnh Thanh Hóa,16591,38,"Xã Các Sơn, Tỉnh Thanh Hóa",
Xã Các Sơn,9138,Xã Các Sơn,MAPPED,merged,TRUE,Xã Các Sơn,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16591,407,38,"Xã Các Sơn, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Xã Các Sơn,Tỉnh Thanh Hóa,16591,38,"Xã Các Sơn, Tỉnh Thanh Hóa",
Xã Định Hải,9139,Xã Định Hải,MAPPED,merged,TRUE,Xã Định Hải,Thị xã Nghi Sơn,Tỉnh Thanh Hóa,16600,407,38,"Xã Định Hải, Thị xã Nghi Sơn, Tỉnh Thanh Hóa",Phường Hải Lĩnh,Tỉnh Thanh Hóa,16597,38,"Phường Hải Lĩnh, Tỉnh Thanh Hóa",
